scenario,param,value,stderr,r_factor,chi_square,residual_rms
baseline,amp,9.862050654852590e-1,3.999218390069826e-2,1.154603015037988e-3,3.226540744828015e1,1.558819271357334e-1
baseline,de0,3.684269315542467e0,5.167615857833645e-1,1.154603015037988e-3,3.226540744828015e1,1.558819271357334e-1
baseline,sig2,6.528527867872139e-3,3.084458109126386e-4,1.154603015037988e-3,3.226540744828015e1,1.558819271357334e-1
baseline,dr,-8.534348703572625e-4,2.523081408874283e-3,1.154603015037988e-3,3.226540744828015e1,1.558819271357334e-1
sfconv,amp,1.162748839980434e0,6.921841780998285e-2,2.529008241991692e-3,7.067319269492459e1,1.717306565033290e-1
sfconv,de0,2.560106972906696e0,7.569720180577746e-1,2.529008241991692e-3,7.067319269492459e1,1.717306565033290e-1
sfconv,sig2,6.655342323066257e-3,4.502608693391237e-4,2.529008241991692e-3,7.067319269492459e1,1.717306565033290e-1
sfconv,dr,1.121431312461557e-2,3.690355243142750e-3,2.529008241991692e-3,7.067319269492459e1,1.717306565033290e-1
sfconv_opcons_mpse,amp,1.197036972699963e0,6.686031181272729e-2,2.211504733650850e-3,6.180054995153227e1,1.266899829569863e-1
sfconv_opcons_mpse,de0,3.694348490817061e0,6.977329600496308e-1,2.211504733650850e-3,6.180054995153227e1,1.266899829569863e-1
sfconv_opcons_mpse,sig2,6.896010474526483e-3,4.209619110947071e-4,2.211504733650850e-3,6.180054995153227e1,1.266899829569863e-1
sfconv_opcons_mpse,dr,6.489028941038054e-3,3.408350652345226e-3,2.211504733650850e-3,6.180054995153227e1,1.266899829569863e-1
