scenario,feff_time_mean_s,feff_time_std_s,feff_time_min_s,feff_time_max_s,n_runs,amp,amp_stderr,de0,de0_stderr,sig2,sig2_stderr,dr,dr_stderr,r_factor,chi_square,residual_rms
baseline,0.9258268339999999,0.03058174674769057,0.890425707,0.967124459,5,0.986205065485259,0.03999218390069826,3.684269315542467,0.5167615857833645,0.006528527867872139,0.0003084458109126386,-0.0008534348703572625,0.002523081408874283,0.001154603015037988,32.26540744828015,0.1558819271357334
sfconv,2.4076763738,0.05469960350978367,2.364641585,2.502681164,5,1.162748839980434,0.06921841780998285,2.560106972906696,0.7569720180577746,0.006655342323066257,0.0004502608693391237,0.01121431312461557,0.00369035524314275,0.002529008241991692,70.6731926949246,0.171730656503329
sfconv_opcons_mpse,105.8781771828,1.8840084798664853,103.45520962399998,108.098112334,5,1.197036972699963,0.0668603118127273,3.694348490817061,0.6977329600496308,0.006896010474526483,0.0004209619110947071,0.006489028941038054,0.003408350652345226,0.00221150473365085,61.80054995153227,0.1266899829569863
