k,model,larch,diff
1.700000000000000e0,1.448967051689082e-1,1.448409228968288e-1,5.578227207941877e-5
1.750000000000000e0,1.660691276104865e-1,1.659637995759865e-1,1.053280345000573e-4
1.800000000000000e0,1.822582861058053e-1,1.822495368952257e-1,8.749210579611644e-6
1.850000000000000e0,1.930151761640759e-1,1.931074963665654e-1,-9.232020248942097e-5
1.900000000000000e0,1.979212759540252e-1,1.979268769105310e-1,-5.600956505841248e-6
1.950000000000000e0,1.961065199345659e-1,1.963472264424164e-1,-2.407065078505188e-4
2.000000000000000e0,1.884247056346568e-1,1.884735806610938e-1,-4.887502643705077e-5
2.050000000000000e0,1.744067711204739e-1,1.746564628031881e-1,-2.496916827141871e-4
2.100000000000000e0,1.551804918425035e-1,1.554951523414868e-1,-3.146604989832658e-4
2.150000000000000e0,1.301967234596300e-1,1.316825343937293e-1,-1.485810934099302e-3
2.200000000000000e0,1.023695981914217e-1,1.040714544493425e-1,-1.701856257920756e-3
2.250000000000000e0,7.307760529358988e-2,7.400141872601719e-2,-9.238134324273117e-4
2.300000000000000e0,4.307821746050125e-2,4.302716422678934e-2,5.105323371190629e-5
2.350000000000000e0,1.351196146252312e-2,1.309155149630827e-2,4.204099662148512e-4
2.400000000000000e0,-1.253263018858248e-2,-1.310367525509092e-2,5.710450665084368e-4
2.450000000000000e0,-3.295384493975013e-2,-3.302927308564903e-2,7.542814589889951e-5
2.500000000000000e0,-4.741343887007212e-2,-4.640763667407481e-2,-1.005802195997316e-3
2.550000000000000e0,-5.857755193934153e-2,-5.581488933794546e-2,-2.762662601396071e-3
2.600000000000000e0,-6.582935515203633e-2,-6.316030171637775e-2,-2.669053435658583e-3
2.650000000000000e0,-6.926191710030548e-2,-6.841524811782886e-2,-8.466689824766227e-4
2.700000000000000e0,-6.972603701708860e-2,-7.020515977365513e-2,4.791227565665301e-4
2.750000000000000e0,-6.709414698228230e-2,-6.792518666129713e-2,8.310396790148222e-4
2.800000000000000e0,-6.152743108084417e-2,-6.218768247809864e-2,6.602513972544660e-4
2.850000000000000e0,-5.373934617283999e-2,-5.391038856201589e-2,1.710423891758961e-4
2.900000000000000e0,-4.398447628209316e-2,-4.402784078806626e-2,4.336450597310082e-5
2.950000000000000e0,-3.263767666487972e-2,-3.306749999586004e-2,4.298233309803223e-4
3.000000000000000e0,-2.077214698615164e-2,-2.139550839460681e-2,6.233614084551684e-4
3.050000000000000e0,-9.303049543195966e-3,-9.494087244318345e-3,1.910377011223787e-4
3.100000000000000e0,2.497580812287743e-3,1.986307935410877e-3,5.112728768768659e-4
3.150000000000000e0,1.314078641203213e-2,1.223227768008341e-2,9.085087319487192e-4
3.200000000000000e0,2.147296536178511e-2,2.061319465981407e-2,8.597707019710465e-4
3.250000000000000e0,2.698618938826624e-2,2.682767743475605e-2,1.585119535101910e-4
3.300000000000000e0,3.153636151438162e-2,3.080642829899852e-2,7.299332153831023e-4
3.350000000000000e0,3.350380817007133e-2,3.240420343293558e-2,1.099604737135745e-3
3.400000000000000e0,3.231725723832418e-2,3.145052796512837e-2,8.667292731958098e-4
3.450000000000000e0,2.800676664848346e-2,2.793031572819431e-2,7.645092028915265e-5
3.500000000000000e0,2.273274416477415e-2,2.208217948402324e-2,6.505646807509098e-4
3.550000000000000e0,1.518901702638021e-2,1.430805893604275e-2,8.809580903374626e-4
3.600000000000000e0,5.691728032863530e-3,5.071568423474790e-3,6.201596093887395e-4
3.650000000000000e0,-5.105145554847076e-3,-5.114776248795718e-3,9.630693948641661e-6
3.700000000000000e0,-1.541129414098124e-2,-1.569654914697634e-2,2.852550059951053e-4
3.750000000000000e0,-2.577608945812855e-2,-2.607612265720093e-2,3.000331990723817e-4
3.800000000000000e0,-3.550501434552959e-2,-3.566079301176169e-2,1.557786662320926e-4
3.850000000000000e0,-4.389655639591855e-2,-4.390194528857828e-2,5.388892659725919e-6
3.900000000000000e0,-5.023443701094575e-2,-5.031916717402932e-2,8.473016308357256e-5
3.950000000000000e0,-5.442233604283994e-2,-5.451108543180543e-2,8.874938896548390e-5
4.000000000000000e0,-5.611196948215846e-2,-5.616685805409583e-2,5.488857193737540e-5
4.050000000000000e0,-5.506965863573338e-2,-5.507776164441665e-2,8.103008683271740e-6
4.100000000000001e0,-5.113551920000868e-2,-5.116981200038889e-2,3.429280038021176e-5
