k,model,larch,diff
1.450000000000000e0,2.037900469720176e-2,2.009284886755197e-2,2.861558296497826e-4
1.500000000000000e0,5.447784211421495e-2,5.411256444340888e-2,3.652776708060676e-4
1.550000000000000e0,8.637820832842411e-2,8.611033042562016e-2,2.678779028039424e-4
1.600000000000000e0,1.154189773414290e-1,1.152681180423988e-1,1.508592990302760e-4
1.650000000000000e0,1.407961117801618e-1,1.406728273556015e-1,1.232844245603049e-4
1.700000000000000e0,1.616944419509563e-1,1.616641557189680e-1,3.028623198830793e-5
1.750000000000000e0,1.778080413309615e-1,1.777615901639631e-1,4.645116699839025e-5
1.800000000000000e0,1.885906396829412e-1,1.885934374458280e-1,-2.797762886808108e-6
1.850000000000000e0,1.937639274614610e-1,1.939096951849520e-1,-1.457677234910637e-4
1.900000000000000e0,1.934474172288985e-1,1.934543094537796e-1,-6.892224881149822e-6
1.950000000000000e0,1.869415542228487e-1,1.872181652685968e-1,-2.766110457481097e-4
2.000000000000000e0,1.755518959497113e-1,1.756076414101513e-1,-5.574546043998763e-5
2.050000000000000e0,1.589378080020292e-1,1.592074863076734e-1,-2.696783056441998e-4
2.100000000000000e0,1.384453626164553e-1,1.387543676633363e-1,-3.090050468809447e-4
2.150000000000000e0,1.135981670044739e-1,1.149897343852503e-1,-1.391567380776448e-3
2.200000000000000e0,8.722760249214880e-2,8.875688172901036e-2,-1.529279236861567e-3
2.250000000000000e0,6.046780845036538e-2,6.126408875565007e-2,-7.962803052846898e-4
2.300000000000000e0,3.386948035275666e-2,3.383069858273713e-2,3.878177001953587e-5
2.350000000000000e0,8.317470937088524e-3,8.001530980010461e-3,3.159399570780621e-4
2.400000000000000e0,-1.379241349793018e-2,-1.419485949073218e-2,4.024459928019999e-4
2.450000000000000e0,-3.093239483209223e-2,-3.094240168596014e-2,1.000685386791378e-5
2.500000000000000e0,-4.316433233656559e-2,-4.224256148900268e-2,-9.217708475629111e-4
2.550000000000000e0,-5.274710579688240e-2,-5.031380519059944e-2,-2.433300606282961e-3
2.600000000000000e0,-5.901855719715893e-2,-5.670952968803743e-2,-2.309027509121500e-3
2.650000000000000e0,-6.207853765685667e-2,-6.135428800005268e-2,-7.242496568039894e-4
2.700000000000000e0,-6.264545903348590e-2,-6.305081412694059e-2,4.053550934546984e-4
2.750000000000000e0,-6.056403835571495e-2,-6.127376324439794e-2,7.097248886829902e-4
2.800000000000000e0,-5.595405938891754e-2,-5.652561559186974e-2,5.715562029521976e-4
2.850000000000000e0,-4.940609936712565e-2,-4.955663879173896e-2,1.505394246133079e-4
2.900000000000000e0,-4.110047197269584e-2,-4.113529316986852e-2,3.482119717267834e-5
2.950000000000000e0,-3.128803671742777e-2,-3.168053048321991e-2,3.924937657921457e-4
3.000000000000000e0,-2.088808424086482e-2,-2.146831418650914e-2,5.802299456443213e-4
3.050000000000000e0,-1.069896640466857e-2,-1.087946208821198e-2,1.804956835434052e-4
3.100000000000000e0,1.605852549992616e-5,-4.587705779771952e-4,4.748291034771214e-4
3.150000000000000e0,9.919808535598221e-3,9.061277594673041e-3,8.585309409251795e-4
