r,model,larch,diff
1.411262324854790e0,3.083653774675858e-1,3.112457492914950e-1,-2.880371823909211e-3
1.441941940612503e0,2.146486760838374e-1,2.186900221436502e-1,-4.041346059812823e-3
1.472621556370216e0,1.666041324490600e-1,1.713715343640317e-1,-4.767401914971658e-3
1.503301172127929e0,2.491666010235373e-1,2.522984049733616e-1,-3.131803949824263e-3
1.533980787885641e0,3.984874249561636e-1,4.007499536517847e-1,-2.262528695621158e-3
1.564660403643354e0,5.580611338909088e-1,5.602156878439984e-1,-2.154553953089611e-3
1.595340019401067e0,7.057207148393787e-1,7.080747496897777e-1,-2.354034850398978e-3
1.626019635158780e0,8.282600632484045e-1,8.309103089696968e-1,-2.650245721292244e-3
1.656699250916493e0,9.162776161159710e-1,9.192091106321986e-1,-2.931494516227540e-3
1.687378866674206e0,9.633313561088445e-1,9.664718537914971e-1,-3.140497682652676e-3
1.718058482431918e0,9.663738905587277e-1,9.696463180008973e-1,-3.272427442169601e-3
1.748738098189631e0,9.279460784888660e-1,9.313364995536739e-1,-3.390421064807914e-3
1.779417713947344e0,8.625421043562167e-1,8.661831888946288e-1,-3.641084538412054e-3
1.810097329705057e0,8.110273542654007e-1,8.152192139578609e-1,-4.191859692460165e-3
1.840776945462770e0,8.536525768156862e-1,8.585669246158346e-1,-4.914347800148433e-3
1.871456561220483e0,1.067804856263358e0,1.073147035846165e0,-5.342179582806805e-3
1.902136176978195e0,1.458889150252035e0,1.464292537682443e0,-5.403387430408024e-3
1.932815792735908e0,1.990340641393410e0,1.995552166800125e0,-5.211525406715545e-3
1.963495408493621e0,2.626748919195784e0,2.631504866577784e0,-4.755947382000247e-3
1.994175024251334e0,3.337460941523161e0,3.341457869106104e0,-3.996927582942789e-3
2.024854640009047e0,4.091867685114750e0,4.094800195811356e0,-2.932510696605384e-3
2.055534255766760e0,4.857205990667400e0,4.858817085637143e0,-1.611094969742766e-3
2.086213871524472e0,5.598669462932358e0,5.598794766069281e0,-1.253031369223834e-4
2.116893487282185e0,6.280822157474881e0,6.279420966997848e0,1.401190477032799e-3
2.147573103039898e0,6.869665430502883e0,6.866835054406098e0,2.830376096784271e-3
