k,model,larch,diff
1.700000000000000e0,1.459264014447547e-1,1.448409228968288e-1,1.085478547925900e-3
1.750000000000000e0,1.670183061811841e-1,1.659637995759865e-1,1.054506605197597e-3
1.800000000000000e0,1.830987078977238e-1,1.822495368952257e-1,8.491710024980947e-4
1.850000000000000e0,1.937216863506255e-1,1.931074963665654e-1,6.141899840601817e-4
1.900000000000000e0,1.984880166659583e-1,1.979268769105310e-1,5.611397554272923e-4
1.950000000000000e0,1.965246739433094e-1,1.963472264424164e-1,1.774475008929632e-4
2.000000000000000e0,1.887100051302506e-1,1.884735806610938e-1,2.364244691567263e-4
2.050000000000000e0,1.745704064481412e-1,1.746564628031881e-1,-8.605635504688181e-5
2.100000000000000e0,1.552561541342520e-1,1.554951523414868e-1,-2.389982072348307e-4
2.150000000000000e0,1.302021673113939e-1,1.316825343937293e-1,-1.480367082335399e-3
2.200000000000000e0,1.023365097286784e-1,1.040714544493425e-1,-1.734944720664058e-3
2.250000000000000e0,7.303392580339757e-2,7.400141872601719e-2,-9.674929226196199e-4
2.300000000000000e0,4.305280382459577e-2,4.302716422678934e-2,2.563959780642333e-5
2.350000000000000e0,1.351500451726782e-2,1.309155149630827e-2,4.234530209595508e-4
2.400000000000000e0,-1.250011041907193e-2,-1.310367525509092e-2,6.035648360189858e-4
2.450000000000000e0,-3.290390534836874e-2,-3.302927308564903e-2,1.253677372802936e-4
2.500000000000000e0,-4.735376800500032e-2,-4.640763667407481e-2,-9.461313309255120e-4
2.550000000000000e0,-5.851912749920429e-2,-5.581488933794546e-2,-2.704238161258830e-3
2.600000000000000e0,-6.578008218775647e-2,-6.316030171637775e-2,-2.619780471378716e-3
2.650000000000000e0,-6.922943687339810e-2,-6.841524811782886e-2,-8.141887555692395e-4
2.700000000000000e0,-6.971340826213338e-2,-7.020515977365513e-2,4.917515115217541e-4
2.750000000000000e0,-6.710820129901386e-2,-6.792518666129713e-2,8.169853622832651e-4
2.800000000000000e0,-6.156948365774548e-2,-6.218768247809864e-2,6.181988203531538e-4
2.850000000000000e0,-5.380854915146720e-2,-5.391038856201589e-2,1.018394105486917e-4
2.900000000000000e0,-4.408146745282726e-2,-4.402784078806626e-2,-5.362666476100425e-5
2.950000000000000e0,-3.275562694256456e-2,-3.306749999586004e-2,3.118730532954833e-4
3.000000000000000e0,-2.090255890215329e-2,-2.139550839460681e-2,4.929494924535219e-4
3.050000000000000e0,-9.436937221917210e-3,-9.494087244318345e-3,5.715002240113537e-5
3.100000000000000e0,2.365857219073297e-3,1.986307935410877e-3,3.795492836624198e-4
3.150000000000000e0,1.302744832516758e-2,1.223227768008341e-2,7.951706450841662e-4
3.200000000000000e0,2.138714961460285e-2,2.061319465981407e-2,7.739549547887831e-4
3.250000000000000e0,2.693355372955398e-2,2.682767743475605e-2,1.058762947979339e-4
3.300000000000000e0,3.151855375487969e-2,3.080642829899852e-2,7.121254558811740e-4
3.350000000000000e0,3.353025411509232e-2,3.240420343293558e-2,1.126050682156737e-3
3.400000000000000e0,3.238564098415821e-2,3.145052796512837e-2,9.351130190298415e-4
3.450000000000000e0,2.810910681230275e-2,2.793031572819431e-2,1.787910841084435e-4
3.500000000000000e0,2.286086179109196e-2,2.208217948402324e-2,7.786823070687204e-4
3.550000000000000e0,1.533460920391757e-2,1.430805893604275e-2,1.026550267874822e-3
3.600000000000000e0,5.837712261677321e-3,5.071568423474790e-3,7.661438382025303e-4
3.650000000000000e0,-4.977537394271989e-3,-5.114776248795718e-3,1.372388545237292e-4
3.700000000000000e0,-1.531449090896579e-2,-1.569654914697634e-2,3.820582380105499e-4
3.750000000000000e0,-2.572410969160725e-2,-2.607612265720093e-2,3.520129655936767e-4
3.800000000000000e0,-3.551169752390610e-2,-3.566079301176169e-2,1.490954878555842e-4
3.850000000000000e0,-4.397133267839021e-2,-4.390194528857828e-2,-6.938738981192988e-5
3.900000000000000e0,-5.037615738283473e-2,-5.031916717402932e-2,-5.699020880540334e-5
3.950000000000000e0,-5.462892468962403e-2,-5.451108543180543e-2,-1.178392578186083e-4
4.000000000000000e0,-5.637474067492814e-2,-5.616685805409583e-2,-2.078826208323087e-4
4.050000000000000e0,-5.537378805522840e-2,-5.507776164441665e-2,-2.960264108117436e-4
4.100000000000001e0,-5.145972682981659e-2,-5.116981200038889e-2,-2.899148294277024e-4
4.150000000000000e0,-4.491240866103509e-2,-4.457573836426813e-2,-3.366702967669555e-4
4.200000000000000e0,-3.593743891945902e-2,-3.559125171731317e-2,-3.461872021458465e-4
4.250000000000000e0,-2.488732712454595e-2,-2.463226353660548e-2,-2.550635879404704e-4
4.300000000000000e0,-1.241221562661383e-2,-1.217229435385378e-2,-2.399212727600495e-4
4.350000000000001e0,1.172407320406506e-3,1.325784372530570e-3,-1.533770521240643e-4
4.400000000000000e0,1.532970529436405e-2,1.535716815824066e-2,-2.746286387661501e-5
4.450000000000000e0,2.948432057170826e-2,2.936615493296542e-2,1.181656387428398e-4
4.500000000000000e0,4.296975865189747e-2,4.274594134592042e-2,2.238173059770504e-4
4.550000000000000e0,5.514423474282498e-2,5.486448541991695e-2,2.797493229080364e-4
4.600000000000001e0,6.544876958395322e-2,6.512292880250635e-2,3.258407814468733e-4
4.650000000000000e0,7.334830042857556e-2,7.298261099723956e-2,3.656894313359971e-4
4.700000000000000e0,7.826540616884822e-2,7.797359943831612e-2,2.918067305320987e-4
4.750000000000000e0,7.994001990176140e-2,7.970604884231750e-2,2.339710594439076e-4
4.800000000000001e0,7.816628636347216e-2,7.792979811745450e-2,2.364882460176576e-4
4.850000000000001e0,7.281147730995950e-2,7.256811010372075e-2,2.433672062387565e-4
4.900000000000000e0,6.386754913028039e-2,6.374292834357240e-2,1.246207867079963e-4
4.950000000000000e0,5.182218518196870e-2,5.176424792215213e-2,5.793725981657200e-5
5.000000000000000e0,3.708740505644771e-2,3.708679445097439e-2,6.106054733223676e-7
5.050000000000001e0,2.019536977023230e-2,2.028890202940853e-2,-9.353225917622596e-5
5.100000000000001e0,1.812145419772574e-3,2.043620105910488e-3,-2.314746861379145e-4
5.150000000000000e0,-1.720044265862232e-2,-1.689608707626589e-2,-3.043555823564366e-4
5.200000000000000e0,-3.598025900437636e-2,-3.569114462319386e-2,-2.891143811825023e-4
5.250000000000000e0,-5.367073425821045e-2,-5.343881363381126e-2,-2.319206243991956e-4
5.300000000000001e0,-6.936203245336031e-2,-6.918674245826684e-2,-1.752899950934750e-4
5.350000000000001e0,-8.208823358964855e-2,-8.199176590436191e-2,-9.646768528663585e-5
5.400000000000000e0,-9.112713766573322e-2,-9.104752414147881e-2,-7.961352425440993e-5
5.450000000000000e0,-9.584763869797604e-2,-9.576293313974685e-2,-8.470555822918946e-5
5.500000000000000e0,-9.583459402015057e-2,-9.582510348764021e-2,-9.490532510356142e-6
5.550000000000001e0,-9.114351440614135e-2,-9.117747200460113e-2,3.395759845978286e-5
5.600000000000001e0,-8.191717404435760e-2,-8.196131420674235e-2,4.414016238475649e-5
5.650000000000000e0,-6.845687499989034e-2,-6.850780851480594e-2,5.093351491559928e-5
5.700000000000000e0,-5.124191575840788e-2,-5.136344085249149e-2,1.215250940836063e-4
5.750000000000000e0,-3.125209642927333e-2,-3.134786704913027e-2,9.577061985693858e-5
5.800000000000001e0,-9.510198581715527e-3,-9.517892503830238e-3,7.693922114710566e-6
5.850000000000001e0,1.283474900894460e-2,1.290790471926332e-2,-7.315571031871367e-5
5.900000000000000e0,3.454010990448857e-2,3.467740318976290e-2,-1.372932852743217e-4
5.950000000000000e0,5.445986880903685e-2,5.462173699974320e-2,-1.618681907063421e-4
6.000000000000000e0,7.154307304986819e-2,7.168550683085380e-2,-1.424337809856069e-4
6.050000000000001e0,8.485542234859229e-2,8.497689966557199e-2,-1.214773169797012e-4
6.100000000000001e0,9.361696852476080e-2,9.380451620196921e-2,-1.875476772084106e-4
6.150000000000000e0,9.744638537412144e-2,9.771826242502329e-2,-2.718770509018559e-4
6.200000000000000e0,9.621260984266794e-2,9.655034700885455e-2,-3.377371661866108e-4
6.250000000000000e0,9.006699152188267e-2,9.042444162599965e-2,-3.574501041169742e-4
6.300000000000001e0,7.942838145271197e-2,7.974471058205626e-2,-3.163291293442894e-4
6.350000000000001e0,6.495208042563275e-2,6.516667031937531e-2,-2.145898937425672e-4
6.400000000000000e0,4.748518983176452e-2,4.755225752158828e-2,-6.706768982375766e-5
6.450000000000000e0,2.801179542149299e-2,2.791264198559455e-2,9.915343589843306e-5
6.500000000000000e0,7.592006167375064e-3,7.343161939455978e-3,2.488442279190853e-4
6.550000000000001e0,-1.276369324808149e-2,-1.304480497806292e-2,2.811117299814283e-4
6.600000000000001e0,-3.195110983554231e-2,-3.219083999017847e-2,2.397301546361585e-4
6.650000000000000e0,-4.892121891215753e-2,-4.914553666907882e-2,2.243177569212912e-4
6.700000000000000e0,-6.290316498227463e-2,-6.311887298760602e-2,2.157080053313831e-4
6.750000000000000e0,-7.332000615205925e-2,-7.351619187007080e-2,1.961857180115545e-4
6.800000000000001e0,-7.980744935319134e-2,-7.995986094812153e-2,1.524115949301935e-4
6.850000000000001e0,-8.221885138138064e-2,-8.229629580956938e-2,7.744442818873043e-5
6.900000000000000e0,-8.061749017396255e-2,-8.058919906344893e-2,-2.829111051362576e-5
6.950000000000000e0,-7.525791518568550e-2,-7.510081705469535e-2,-1.570981309901576e-4
