k,model,larch,diff
1.450000000000000e0,2.016424811142644e-2,2.009284886755197e-2,7.139924387446206e-5
1.500000000000000e0,5.442416571283847e-2,5.411256444340888e-2,3.116012694295844e-4
1.550000000000000e0,8.646809969821811e-2,8.611033042562016e-2,3.577692725979520e-4
1.600000000000000e0,1.156549745035552e-1,1.152681180423988e-1,3.868564611564235e-4
1.650000000000000e0,1.411611810181602e-1,1.406728273556015e-1,4.883536625586715e-4
1.700000000000000e0,1.621765054999655e-1,1.616641557189680e-1,5.123497809974842e-4
1.750000000000000e0,1.783881528531192e-1,1.777615901639631e-1,6.265626891560627e-4
1.800000000000000e0,1.892485661016784e-1,1.885934374458280e-1,6.551286558504066e-4
1.850000000000000e0,1.944790611270295e-1,1.939096951849520e-1,5.693659420775155e-4
1.900000000000000e0,1.941995100146512e-1,1.934543094537796e-1,7.452005608715451e-4
1.950000000000000e0,1.876996314775606e-1,1.872181652685968e-1,4.814662089638322e-4
2.000000000000000e0,1.762981760097903e-1,1.756076414101513e-1,6.905345996389978e-4
2.050000000000000e0,1.596429751072049e-1,1.592074863076734e-1,4.354887995315082e-4
2.100000000000000e0,1.390995288073447e-1,1.387543676633363e-1,3.451611440084268e-4
2.150000000000000e0,1.141694393821094e-1,1.149897343852503e-1,-8.202950031409584e-4
2.200000000000000e0,8.770401103598650e-2,8.875688172901036e-2,-1.052870693023858e-3
2.250000000000000e0,6.084242492096290e-2,6.126408875565007e-2,-4.216638346871762e-4
2.300000000000000e0,3.414371289866919e-2,3.383069858273713e-2,3.130143159320586e-4
2.350000000000000e0,8.482676996288428e-3,8.001530980010461e-3,4.811460162779668e-4
2.400000000000000e0,-1.373010704240682e-2,-1.419485949073218e-2,4.647524483253514e-4
2.450000000000000e0,-3.096099249185525e-2,-3.094240168596014e-2,-1.859080589510648e-5
2.500000000000000e0,-4.325394489534016e-2,-4.224256148900268e-2,-1.011383406337482e-3
2.550000000000000e0,-5.288870110387589e-2,-5.031380519059944e-2,-2.574895913276448e-3
2.600000000000000e0,-5.919960924552525e-2,-5.670952968803743e-2,-2.490079557487826e-3
2.650000000000000e0,-6.228631705113124e-2,-6.135428800005268e-2,-9.320290510785589e-4
2.700000000000000e0,-6.286718112513549e-2,-6.305081412694059e-2,1.836330018051002e-4
2.750000000000000e0,-6.079208614752957e-2,-6.127376324439794e-2,4.816770968683742e-4
2.800000000000000e0,-5.617659778623585e-2,-5.652561559186974e-2,3.490178056338861e-4
2.850000000000000e0,-4.961333919244618e-2,-4.955663879173896e-2,-5.670040070721721e-5
2.900000000000000e0,-4.128683784253830e-2,-4.113529316986852e-2,-1.515446726697844e-4
2.950000000000000e0,-3.144444217021820e-2,-3.168053048321991e-2,2.360883130017102e-4
3.000000000000000e0,-2.100881784083795e-2,-2.146831418650914e-2,4.594963456711829e-4
3.050000000000000e0,-1.078163513188996e-2,-1.087946208821198e-2,9.782695632201514e-5
3.100000000000000e0,-3.069336385718965e-5,-4.587705779771952e-4,4.280772141200056e-4
3.150000000000000e0,9.914164514405943e-3,9.061277594673041e-3,8.528869197329016e-4
3.200000000000000e0,1.794609028763285e-2,1.708921245437348e-2,8.568778332593771e-4
3.250000000000000e0,2.354117204064385e-2,2.332543994108142e-2,2.157320995624275e-4
3.300000000000000e0,2.846332424440612e-2,2.767369495791551e-2,7.896292864906021e-4
3.350000000000000e0,3.113479164113269e-2,2.994275657939049e-2,1.192035061742203e-3
3.400000000000000e0,3.087895944526911e-2,2.989024823516422e-2,9.887112101048985e-4
3.450000000000000e0,2.759693094946153e-2,2.740457688441883e-2,1.923540650426922e-4
3.500000000000000e0,2.338124628541839e-2,2.261174459581147e-2,7.695016896069259e-4
3.550000000000000e0,1.680358938969019e-2,1.579795282183295e-2,1.005636567857234e-3
3.600000000000000e0,8.045866833444134e-3,7.323249415895688e-3,7.226174175484455e-4
3.650000000000000e0,-2.331938856234708e-3,-2.380798998970953e-3,4.886014273624553e-5
3.700000000000000e0,-1.248870283322094e-2,-1.281254498424808e-2,3.238421510271434e-4
3.750000000000000e0,-2.308265162071756e-2,-2.339859823437767e-2,3.159466136601168e-4
3.800000000000000e0,-3.341433673203636e-2,-3.353472147970279e-2,1.203847476664230e-4
3.850000000000000e0,-4.271932811105761e-2,-4.262032967414725e-2,-9.899843691035803e-5
3.900000000000000e0,-5.011790208113028e-2,-5.008641634667832e-2,-3.148573445195535e-5
3.950000000000000e0,-5.547470555567466e-2,-5.541970665377990e-2,-5.499890189476081e-5
4.000000000000000e0,-5.830307226954917e-2,-5.818284346494816e-2,-1.202288046010039e-4
4.050000000000000e0,-5.822449252068874e-2,-5.803659160936112e-2,-1.879009113276223e-4
4.100000000000001e0,-5.495052300056458e-2,-5.478653800353910e-2,-1.639849970254889e-4
4.150000000000000e0,-4.868673822692646e-2,-4.847398543699171e-2,-2.127527899347531e-4
4.200000000000000e0,-3.958109001496166e-2,-3.934649815839190e-2,-2.345918565697588e-4
4.250000000000000e0,-2.797908749632574e-2,-2.782024409440195e-2,-1.588434019237882e-4
4.300000000000000e0,-1.460436130975651e-2,-1.441432204924694e-2,-1.900392605095700e-4
4.350000000000001e0,1.764456212345522e-4,3.265218023979571e-4,-1.500761811634049e-4
4.400000000000000e0,1.571370386125496e-2,1.578191918956779e-2,-6.821532831283866e-5
4.450000000000000e0,3.129006407170969e-2,3.125449153850474e-2,3.557253320495002e-5
4.500000000000000e0,4.607662182095578e-2,4.598155098922993e-2,9.507083172585057e-5
4.550000000000000e0,5.929494322919083e-2,5.917879554031483e-2,1.161476888760019e-4
4.600000000000001e0,7.026218189073639e-2,7.011813343809929e-2,1.440484526371022e-4
4.650000000000000e0,7.835272309281471e-2,7.816915293860129e-2,1.835701542134277e-4
4.700000000000000e0,8.294001722004783e-2,8.281759304920717e-2,1.224241708406570e-4
4.750000000000000e0,8.378349010299926e-2,8.368420542837066e-2,9.928467462860802e-5
4.800000000000001e0,8.074464668864527e-2,8.058963229390792e-2,1.550143947373489e-4
4.850000000000001e0,7.380794219637302e-2,7.358342092383775e-2,2.245212725352635e-4
4.900000000000000e0,6.312965763447884e-2,6.295556973109265e-2,1.740879033861886e-4
4.950000000000000e0,4.937407871557239e-2,4.920365892816373e-2,1.704197874086572e-4
5.000000000000000e0,3.312985090163949e-2,3.296768579203947e-2,1.621651096000154e-4
5.050000000000001e0,1.509115661168849e-2,1.498984481746126e-2,1.013117942272341e-4
5.100000000000001e0,-3.946260726302078e-3,-3.929514776377779e-3,-1.674594992429924e-5
5.150000000000000e0,-2.304515171994503e-2,-2.295628888039202e-2,-8.886283955300903e-5
5.200000000000000e0,-4.132105887188628e-2,-4.122508671583548e-2,-9.597215605080395e-5
5.250000000000000e0,-5.794934194758861e-2,-5.786692630852265e-2,-8.241563906595528e-5
5.300000000000001e0,-7.210641115115708e-2,-7.202556967489648e-2,-8.084147626059857e-5
5.350000000000001e0,-8.298814990314164e-2,-8.291373033798419e-2,-7.441956515745474e-5
5.400000000000000e0,-9.005707288846496e-2,-8.992350683799055e-2,-1.335660504744041e-4
5.450000000000000e0,-9.288674998757951e-2,-9.268088631045045e-2,-2.058636771290617e-4
5.500000000000000e0,-9.126620405439959e-2,-9.107908727781257e-2,-1.871167765870180e-4
5.550000000000001e0,-8.541293969515837e-2,-8.523224567628562e-2,-1.806940188727457e-4
5.600000000000001e0,-7.559309662101101e-2,-7.540638119559814e-2,-1.867154254128617e-4
5.650000000000000e0,-6.217589854778717e-2,-6.200189369554369e-2,-1.740048522434826e-4
