k,model,larch,diff
5.000000000000000e-2,0.000000000000000e0,-3.004169364982455e-1,3.004169364982455e-1
1.000000000000000e-1,0.000000000000000e0,-3.028599019623773e-1,3.028599019623773e-1
1.500000000000000e-1,0.000000000000000e0,-3.053028674265091e-1,3.053028674265091e-1
2.000000000000000e-1,0.000000000000000e0,-3.086716147668306e-1,3.086716147668306e-1
2.500000000000000e-1,0.000000000000000e0,-3.129124878200045e-1,3.129124878200045e-1
3.000000000000000e-1,0.000000000000000e0,-3.179532062114368e-1,3.179532062114368e-1
3.500000000000000e-1,0.000000000000000e0,-3.237002129304355e-1,3.237002129304355e-1
4.000000000000000e-1,0.000000000000000e0,-3.300350931702580e-1,3.300350931702580e-1
4.500000000000000e-1,0.000000000000000e0,-3.368094875634737e-1,3.368094875634737e-1
5.000000000000000e-1,0.000000000000000e0,-3.438366516251072e-1,3.438366516251072e-1
5.500000000000000e-1,0.000000000000000e0,-3.508707890133191e-1,3.508707890133191e-1
6.000000000000001e-1,0.000000000000000e0,-3.574452979919543e-1,3.574452979919543e-1
6.500000000000000e-1,-3.523128314451707e-1,-3.501577306932779e-1,-2.155100751892736e-3
7.000000000000001e-1,-3.426835572116530e-1,-3.405942413177491e-1,-2.089315893903876e-3
7.500000000000000e-1,-3.321243848220776e-1,-3.300357874890825e-1,-2.088597332995101e-3
8.000000000000000e-1,-3.205578847734468e-1,-3.183303142416022e-1,-2.227570531844580e-3
8.500000000000001e-1,-3.077163450564175e-1,-3.053143758861092e-1,-2.401969170308271e-3
9.000000000000000e-1,-2.925399992674933e-1,-2.908142127027583e-1,-1.725786564734988e-3
9.500000000000001e-1,-2.762119270505815e-1,-2.746697006743047e-1,-1.542226376276767e-3
1.000000000000000e0,-2.583811512988020e-1,-2.566904091810707e-1,-1.690742117731292e-3
1.050000000000000e0,-2.376209530969807e-1,-2.366915795844709e-1,-9.293735125097402e-4
1.100000000000000e0,-2.154913022291872e-1,-2.146150108471137e-1,-8.762913820735407e-4
1.150000000000000e0,-1.908663174820724e-1,-1.903978999284350e-1,-4.684175536373569e-4
1.200000000000000e0,-1.639985521892341e-1,-1.639657785887687e-1,-3.277360046533007e-5
1.250000000000000e0,-1.355875607313956e-1,-1.354458407271037e-1,-1.417200042918287e-4
1.300000000000000e0,-1.045221400774463e-1,-1.050901753780835e-1,5.680353006372041e-4
1.350000000000000e0,-7.284683091238972e-2,-7.321869693233499e-2,3.718660199452661e-4
1.400000000000000e0,-3.926194289266388e-2,-4.024892562746904e-2,9.869827348051585e-4
1.450000000000000e0,-5.729073696292837e-3,-6.700430123979782e-3,9.713564276869445e-4
1.500000000000000e0,2.803364418279481e-2,2.680692382766853e-2,1.226720355126283e-3
1.550000000000000e0,6.085974777751538e-2,5.961777704622420e-2,1.241970731291175e-3
1.600000000000000e0,9.206928245284998e-2,9.087616707522274e-2,1.193115377627244e-3
1.650000000000000e0,1.207626524231602e-1,1.195655016592855e-1,1.197150763874721e-3
